,0
0,lgb_valid
1,e
2,test_df
3,pr2
4,ingr
5,x
6,folds
7,newitem
8,N
9,n_fold
10,lb
11,c
12,item
13,merged_df
14,pr1
15,start_time
16,len_train
17,oof_preds
18,print
19,input_dir
20,num_folds
21,out_df
22,df
23,col_drop
24,pred2
25,target2
26,dummies
27,vect
28,train_idx
29,params
30,enumerate
31,test_x
32,valid_idx
33,i
34,train_df
35,sub_preds
36,features_processed
37,target
38,gbm
39,lgb_train
