,0
0,e
1,scores_final
2,top
3,int
4,mask
5,max_score
6,barpath
7,bottom
8,x
9,file_name
10,left
11,lower_is_better
12,ax
13,codes
14,verts
15,patch
16,cum_date
17,scores_gb
18,right
19,min_score
20,num_bins
21,nrects
22,nverts
23,anim
24,enumerate
25,ymax
26,fig
27,n
28,_
29,scores
30,bins
31,dates_dict
32,date
33,len
