,0
0,dict
1,photos_in_train_biz
2,test_images
3,train_images
4,x
5,test_biz_ids
6,test_ids
7,train_photo_to_biz_ids
8,photos_in_test_biz
9,list
10,sorted
11,n_labels
12,map
13,t
14,train_ids
15,label_desc_dict
16,add_prefix
17,test_photo_to_biz_ids
18,train_L
19,extract_id
20,int
21,tuple
22,train_labels
23,len
