,0
0,abs
1,sub
2,y
3,x
4,seed
5,testInfo
6,preds
7,isinstance
8,nanfill
9,str
10,ids
11,test
12,print
13,train
14,open
15,shflidx
16,scaler
17,clf
18,trainInfo
19,pickle_file
20,len
