,0
0,additional_type_2_files
1,__name__
2,TRAIN_DATA
3,TEST_DATA
4,train_id_type_list
5,additional_type_1_ids
6,val_id_type_list
7,test_ids
8,ADDITIONAL_DATA
9,additional_type_3_files
10,type_3_files
11,type_3_ids
12,type_to_index
13,s
14,type_1_files
15,resnet
16,print
17,type_1_ids
18,test_files
19,type_2_files
20,additional_type_2_ids
21,additional_type_1_files
22,type_2_ids
23,additional_type_3_ids
24,len
