,0
0,xtrain
1,p
2,y
3,xgb_test
4,x
5,folds
6,test_jpg
7,score
8,list
9,model
10,now
11,watchlist
12,xgtrain
13,str
14,xgvalid
15,test
16,print
17,in_path
18,train
19,xgtest
20,trn_index
21,val_index
22,round
23,params
24,xtest
25,y_pred
26,kf
