,0
0,teams
1,end_year
2,rpi_regular
3,tourney
4,elo_regular
5,team_list
6,rank_dates
7,data_dir
8,elo_rank_reg
9,print
10,int
11,regular
12,elo_rank_trny
13,start_year
14,elo_tourney
15,x
16,games_regular
17,rpi_tourney
